query,allocation,size,elements,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30
Close Trains,local,1,49,0.00311477,0.00243676,0.00265675,0.002685,0.00528283,0.00245846,0.00213627,0.00236868,0.0047599,0.00276541,0.00261142,0.00257292,0.00268558,0.00245855,0.00190603,0.00252375,0.00195899,0.00246126,0.00274579,0.0024838,0.00218202,0.0021861,0.00341155,0.00274162,0.00194836,0.00202311,0.00496143,0.00220435,0.00290632
Derailment,local,1,49,0.00778762,0.00480114,0.0045899,0.00435991,0.00473723,0.00467882,0.00433383,0.00477781,0.00500543,0.00444645,0.00427733,0.00718236,0.00454349,0.00457528,0.00434417,0.0068335,0.00463399,0.00438183,0.00435891,0.00478898,0.00471615,0.00437166,0.00478331,0.0070937,0.00450841,0.00431404,0.00720044,0.00451578,0.00436437
End of Siding,local,1,49,0.0100804,0.0100214,0.00697962,0.00669368,0.00672551,0.00966378,0.00977865,0.00652102,0.00630007,0.00654598,0.00860017,0.00692483,0.00708295,0.00663189,0.00659014,0.00641315,0.00921331,0.00980182,0.00653198,0.00629728,0.00664251,0.00628503,0.0072719,0.0147554,0.00747935,0.0066671,0.00671522,0.00701279,0.00660722
Train Locations,local,1,49,0.00159292,0.00108511,0.0021144,0.00190312,0.00247634,0.00248538,0.00277016,0.00302869,0.00166571,0.00260787,0.00270287,0.00106386,0.00209253,0.00101595,0.000985703,0.00258696,0.00251846,0.00263875,0.00252779,0.00285224,0.00105112,0.00226602,0.00304806,0.00244034,0.00247051,0.00106324,0.00240209,0.00101599,0.00204757
Close Trains,local,10,436,0.00686929,0.0062937,0.00624462,0.00654148,0.00626549,0.00625332,0.00654614,0.00623703,0.0062362,0.0065054,0.00652119,0.00885549,0.00669593,0.00655885,0.00853146,0.00672968,0.00656214,0.00861184,0.00662827,0.00653464,0.0107924,0.00644969,0.00635878,0.00902648,0.00640873,0.00637299,0.0089382,0.00642157,0.00628111
Derailment,local,10,436,0.0346622,0.0336055,0.0285893,0.0332007,0.0336458,0.0290879,0.0331469,0.0334571,0.0340167,0.0288433,0.0338868,0.0343251,0.0285623,0.0334221,0.0471923,0.0341433,0.0340954,0.0288109,0.0338898,0.0342272,0.0343173,0.0288606,0.0339711,0.0349976,0.0293655,0.0313045,0.034456,0.0348142,0.0288812
End of Siding,local,10,436,0.0678404,0.0691752,0.0623581,0.0641539,0.0610052,0.0608313,0.0606022,0.0605942,0.0596315,0.0599739,0.065781,0.0604605,0.0607102,0.0633138,0.0611125,0.0607516,0.0625013,0.0648395,0.0606175,0.0606835,0.0644082,0.06153,0.0608244,0.0644188,0.0613226,0.0606364,0.064587,0.0611463,0.0604578
Train Locations,local,10,436,0.00246522,0.00208911,0.00206019,0.00208273,0.00231106,0.00197003,0.00236993,0.00207569,0.00211323,0.00207857,0.00229401,0.00217923,0.00231985,0.00230118,0.00195732,0.00234818,0.00207986,0.0021561,0.00208744,0.00231501,0.00194812,0.00234235,0.00208823,0.00211148,0.00205273,0.00230593,0.00194082,0.00235609,0.00548228
Close Trains,local,100,4306,0.0600415,0.0646149,0.0606223,0.0602485,0.0600965,0.0623273,0.0625639,0.0607067,0.0598817,0.060257,0.0623052,0.0601647,0.0597689,0.0599173,0.0641737,0.0599969,0.0595463,0.0597794,0.0600277,0.0691688,0.0599939,0.0598145,0.0597454,0.0726405,0.0607422,0.0600267,0.0643217,0.0602974,0.0597767
Derailment,local,100,4306,0.318303,0.307633,0.306387,0.306077,0.309268,0.30918,0.307616,0.307296,0.319715,0.309524,0.305198,0.308137,0.312489,0.311091,0.309255,0.319602,0.305924,0.308247,0.308746,0.310367,0.306903,0.304677,0.308359,0.320181,0.309246,0.308916,0.308714,0.308073,0.306145
End of Siding,local,100,4306,0.62804,0.645139,0.624621,0.628898,0.645047,0.628995,0.629644,0.635019,0.645722,0.628691,0.628814,0.626911,0.642163,0.627972,0.63175,0.641674,0.628841,0.625955,0.634281,0.638929,0.620844,0.623639,0.625959,0.642699,0.627651,0.629229,0.642085,0.628684,0.625016
Train Locations,local,100,4306,0.0154083,0.0133816,0.0151836,0.0130084,0.0136471,0.0151408,0.0129889,0.0152897,0.0127724,0.0153645,0.0154878,0.0128101,0.01546,0.0152947,0.0129589,0.015269,0.0153499,0.0133948,0.0151585,0.0153583,0.0133681,0.0151495,0.0130046,0.013688,0.012706,0.0153346,0.0156186,0.012794,0.0152818
Close Trains,local,1000,43006,0.613153,0.611761,0.624482,0.611649,0.613132,0.619016,0.615496,0.606123,0.610366,0.611665,0.619602,0.609919,0.607843,0.603991,0.625528,0.609166,0.608502,0.608006,0.625532,0.611154,0.613983,0.625292,0.611266,0.613748,0.615152,0.621526,0.613682,0.610744,0.611257
Derailment,local,1000,43006,3.10895,3.07223,3.09392,3.09278,3.08404,3.04672,3.12025,3.06172,3.08746,3.09541,3.04412,3.09007,3.09872,3.08314,3.13335,3.08535,3.09092,3.10423,3.11966,3.07281,3.10827,3.09718,3.08378,3.09801,3.10759,3.08743,3.09787,3.09292,3.08273
End of Siding,local,1000,43006,6.12881,6.14598,6.16996,6.18307,6.34714,6.16538,6.16601,6.14599,6.19251,6.22741,6.22714,6.17304,6.16766,6.19479,6.21267,6.19569,6.20738,6.16623,6.19472,6.16545,6.18631,6.17061,6.18586,6.19134,6.17531,6.1821,6.17831,6.16139,6.12712
Train Locations,local,1000,43006,0.138326,0.138668,0.13956,0.139584,0.13686,0.137056,0.137172,0.140137,0.139499,0.150676,0.139044,0.137397,0.139167,0.141668,0.137615,0.139207,0.13999,0.138095,0.137403,0.139115,0.137444,0.13953,0.139134,0.137472,0.136999,0.150465,0.137519,0.137176,0.140246

