model_size|update_type|sample_id|timestamp_seconds|delta_seconds|object_count|object_delta_count|remote_reference_sent_ack_count|remote_reference_sent_ack_delta_count|remote_reference_recv_ack_count|remote_reference_recv_ack_delta_count
60|OBJECT|1|0|0|0|0|0|0|0|0
60|OBJECT|2|0.01|0.01|60|60|0|0|0|0
600|OBJECT|1|0|0|0|0|0|0|0|0
600|OBJECT|2|0.01|0.01|55|55|0|0|0|0
600|OBJECT|3|0.02|0.01|110|55|0|0|0|0
600|OBJECT|4|0.03|0.01|165|55|0|0|0|0
600|OBJECT|5|0.04|0.01|215|50|0|0|0|0
600|OBJECT|6|0.05|0.01|265|50|0|0|0|0
600|OBJECT|7|0.06|0.01|315|50|0|0|0|0
600|OBJECT|8|0.07|0.01|365|50|0|0|0|0
600|OBJECT|9|0.08|0.01|415|50|0|0|0|0
600|OBJECT|10|0.09|0.01|435|20|0|0|0|0
600|OBJECT|11|0.10|0.01|515|80|0|0|0|0
600|OBJECT|12|0.11|0.01|565|50|0|0|0|0
600|OBJECT|13|0.12|0.01|600|35|0|0|0|0
600|OBJECT|1|0|0|0|0|0|0|0|0
600|OBJECT|2|0.01|0.01|200|200|0|0|0|0
600|OBJECT|3|0.02|0.01|400|200|0|0|0|0
600|OBJECT|4|0.03|0.01|600|200|0|0|0|0
