model_size|update_type|sample_id|timestamp_seconds|delta_seconds|object_count|object_delta_count|remote_reference_sent_ack_count|remote_reference_sent_ack_delta_count|remote_reference_recv_ack_count|remote_reference_recv_ack_delta_count
420|OBJECT|0|0|25|9|9|0|0|0|0
420|OBJECT|1|25|25|31|22|0|0|0|0
420|OBJECT|2|50|25|50|19|0|0|0|0
420|OBJECT|3|75|25|70|20|0|0|0|0
420|OBJECT|4|100|25|89|19|0|0|0|0
420|OBJECT|5|125|25|108|19|0|0|0|0
420|OBJECT|6|150|25|128|20|0|0|0|0
420|OBJECT|7|175|25|147|19|0|0|0|0
420|OBJECT|8|200|25|166|19|0|0|0|0
420|OBJECT|9|225|25|186|20|0|0|0|0
420|OBJECT|10|250|25|205|19|0|0|0|0
420|OBJECT|11|275|25|225|20|0|0|0|0
420|OBJECT|12|300|25|248|23|0|0|0|0
420|OBJECT|13|325|25|264|16|0|0|0|0
420|OBJECT|14|350|25|287|23|0|0|0|0
420|OBJECT|15|375|25|303|16|0|0|0|0
420|OBJECT|16|400|25|324|21|0|0|0|0
420|OBJECT|17|425|25|339|15|0|0|0|0
420|OBJECT|18|450|25|361|22|0|0|0|0
420|OBJECT|19|475|25|377|16|0|0|0|0
420|OBJECT|20|500|25|396|19|0|0|0|0
420|OBJECT|21|525|25|413|17|0|0|0|0
420|OBJECT|22|550|25|420|7|0|0|0|0
420|OBJECT|23|575|25|420|0|0|0|0|0
4200|OBJECT|0|0|25|14|14|0|0|0|0
4200|OBJECT|1|25|25|34|20|0|0|0|0
4200|OBJECT|2|50|25|54|20|0|0|0|0
4200|OBJECT|3|75|25|76|22|0|0|0|0
4200|OBJECT|4|100|25|94|18|0|0|0|0
4200|OBJECT|5|125|25|116|22|0|0|0|0
4200|OBJECT|6|150|25|133|17|0|0|0|0
4200|OBJECT|7|175|25|156|23|0|0|0|0
4200|OBJECT|8|200|25|172|16|0|0|0|0
4200|OBJECT|9|225|25|195|23|0|0|0|0
4200|OBJECT|10|250|25|211|16|0|0|0|0
4200|OBJECT|11|275|25|234|23|0|0|0|0
4200|OBJECT|12|300|25|250|16|0|0|0|0
4200|OBJECT|13|325|25|272|22|0|0|0|0
4200|OBJECT|14|350|25|289|17|0|0|0|0
4200|OBJECT|15|375|25|312|23|0|0|0|0
4200|OBJECT|16|400|25|329|17|0|0|0|0
4200|OBJECT|17|425|25|351|22|0|0|0|0
4200|OBJECT|18|450|25|368|17|0|0|0|0
4200|OBJECT|19|475|25|391|23|0|0|0|0
4200|OBJECT|20|500|25|408|17|0|0|0|0
4200|OBJECT|21|525|25|431|23|0|0|0|0
4200|OBJECT|22|550|25|447|16|0|0|0|0
4200|OBJECT|23|575|25|469|22|0|0|0|0
4200|OBJECT|24|600|25|488|19|0|0|0|0
4200|OBJECT|25|625|25|508|20|0|0|0|0
4200|OBJECT|26|650|25|527|19|0|0|0|0
4200|OBJECT|27|675|25|546|19|0|0|0|0
4200|OBJECT|28|700|25|565|19|0|0|0|0
4200|OBJECT|29|725|25|585|20|0|0|0|0
4200|OBJECT|30|750|25|604|19|0|0|0|0
4200|OBJECT|31|775|25|624|20|0|0|0|0
4200|OBJECT|32|800|25|642|18|0|0|0|0
4200|OBJECT|33|825|25|661|19|0|0|0|0
4200|OBJECT|34|850|25|681|20|0|0|0|0
4200|OBJECT|35|875|25|700|19|0|0|0|0
4200|OBJECT|36|900|25|720|20|0|0|0|0
4200|OBJECT|37|925|25|739|19|0|0|0|0
4200|OBJECT|38|950|25|759|20|0|0|0|0
4200|OBJECT|39|975|25|778|19|0|0|0|0
4200|OBJECT|40|1000|25|798|20|0|0|0|0
4200|OBJECT|41|1025|25|817|19|0|0|0|0
4200|OBJECT|42|1050|25|839|22|0|0|0|0
4200|OBJECT|43|1075|25|856|17|0|0|0|0
4200|OBJECT|44|1100|25|879|23|0|0|0|0
4200|OBJECT|45|1125|25|895|16|0|0|0|0
4200|OBJECT|46|1150|25|918|23|0|0|0|0
4200|OBJECT|47|1175|25|934|16|0|0|0|0
4200|OBJECT|48|1200|25|957|23|0|0|0|0
4200|OBJECT|49|1225|25|973|16|0|0|0|0
4200|OBJECT|50|1250|25|995|22|0|0|0|0
4200|OBJECT|51|1275|25|1011|16|0|0|0|0
4200|OBJECT|52|1300|25|1033|22|0|0|0|0
4200|OBJECT|53|1325|25|1049|16|0|0|0|0
4200|OBJECT|54|1350|25|1071|22|0|0|0|0
4200|OBJECT|55|1375|25|1088|17|0|0|0|0
4200|OBJECT|56|1400|25|1110|22|0|0|0|0
4200|OBJECT|57|1425|25|1127|17|0|0|0|0
4200|OBJECT|58|1450|25|1149|22|0|0|0|0
4200|OBJECT|59|1475|25|1161|12|0|0|0|0
4200|OBJECT|60|1500|25|1176|15|0|0|0|0
4200|OBJECT|61|1525|25|1195|19|0|0|0|0
4200|OBJECT|62|1550|25|1215|20|0|0|0|0
4200|OBJECT|63|1575|25|1233|18|0|0|0|0
4200|OBJECT|64|1600|25|1253|20|0|0|0|0
4200|OBJECT|65|1625|25|1272|19|0|0|0|0
4200|OBJECT|66|1650|25|1291|19|0|0|0|0
4200|OBJECT|67|1675|25|1311|20|0|0|0|0
4200|OBJECT|68|1700|25|1330|19|0|0|0|0
4200|OBJECT|69|1725|25|1349|19|0|0|0|0
4200|OBJECT|70|1750|25|1368|19|0|0|0|0
4200|OBJECT|71|1775|25|1387|19|0|0|0|0
4200|OBJECT|72|1800|25|1406|19|0|0|0|0
4200|OBJECT|73|1825|25|1426|20|0|0|0|0
4200|OBJECT|74|1850|25|1445|19|0|0|0|0
4200|OBJECT|75|1875|25|1467|22|0|0|0|0
4200|OBJECT|76|1900|25|1484|17|0|0|0|0
4200|OBJECT|77|1925|25|1507|23|0|0|0|0
4200|OBJECT|78|1950|25|1523|16|0|0|0|0
4200|OBJECT|79|1975|25|1545|22|0|0|0|0
4200|OBJECT|80|2000|25|1562|17|0|0|0|0
4200|OBJECT|81|2025|25|1584|22|0|0|0|0
4200|OBJECT|82|2050|25|1601|17|0|0|0|0
4200|OBJECT|83|2075|25|1623|22|0|0|0|0
4200|OBJECT|84|2100|25|1639|16|0|0|0|0
4200|OBJECT|85|2125|25|1662|23|0|0|0|0
4200|OBJECT|86|2150|25|1679|17|0|0|0|0
4200|OBJECT|87|2175|25|1700|21|0|0|0|0
4200|OBJECT|88|2200|25|1717|17|0|0|0|0
4200|OBJECT|89|2225|25|1739|22|0|0|0|0
4200|OBJECT|90|2250|25|1757|18|0|0|0|0
4200|OBJECT|91|2275|25|1776|19|0|0|0|0
4200|OBJECT|92|2300|25|1794|18|0|0|0|0
4200|OBJECT|93|2325|25|1814|20|0|0|0|0
4200|OBJECT|94|2350|25|1833|19|0|0|0|0
4200|OBJECT|95|2375|25|1852|19|0|0|0|0
4200|OBJECT|96|2400|25|1871|19|0|0|0|0
4200|OBJECT|97|2425|25|1891|20|0|0|0|0
4200|OBJECT|98|2450|25|1909|18|0|0|0|0
4200|OBJECT|99|2475|25|1929|20|0|0|0|0
4200|OBJECT|100|2500|25|1948|19|0|0|0|0
4200|OBJECT|101|2525|25|1967|19|0|0|0|0
4200|OBJECT|102|2550|25|1986|19|0|0|0|0
4200|OBJECT|103|2575|25|2005|19|0|0|0|0
4200|OBJECT|104|2600|25|2025|20|0|0|0|0
4200|OBJECT|105|2625|25|2044|19|0|0|0|0
4200|OBJECT|106|2650|25|2066|22|0|0|0|0
4200|OBJECT|107|2675|25|2083|17|0|0|0|0
4200|OBJECT|108|2700|25|2105|22|0|0|0|0
4200|OBJECT|109|2725|25|2120|15|0|0|0|0
4200|OBJECT|110|2750|25|2136|16|0|0|0|0
4200|OBJECT|111|2775|25|2152|16|0|0|0|0
4200|OBJECT|112|2800|25|2174|22|0|0|0|0
4200|OBJECT|113|2825|25|2190|16|0|0|0|0
4200|OBJECT|114|2850|25|2212|22|0|0|0|0
4200|OBJECT|115|2875|25|2229|17|0|0|0|0
4200|OBJECT|116|2900|25|2251|22|0|0|0|0
4200|OBJECT|117|2925|25|2271|20|0|0|0|0
4200|OBJECT|118|2950|25|2290|19|0|0|0|0
4200|OBJECT|119|2975|25|2309|19|0|0|0|0
4200|OBJECT|120|3000|25|2328|19|0|0|0|0
4200|OBJECT|121|3025|25|2347|19|0|0|0|0
4200|OBJECT|122|3050|25|2366|19|0|0|0|0
4200|OBJECT|123|3075|25|2386|20|0|0|0|0
4200|OBJECT|124|3100|25|2405|19|0|0|0|0
4200|OBJECT|125|3125|25|2424|19|0|0|0|0
4200|OBJECT|126|3150|25|2444|20|0|0|0|0
4200|OBJECT|127|3175|25|2463|19|0|0|0|0
4200|OBJECT|128|3200|25|2482|19|0|0|0|0
4200|OBJECT|129|3225|25|2503|21|0|0|0|0
4200|OBJECT|130|3250|25|2520|17|0|0|0|0
4200|OBJECT|131|3275|25|2542|22|0|0|0|0
4200|OBJECT|132|3300|25|2558|16|0|0|0|0
4200|OBJECT|133|3325|25|2580|22|0|0|0|0
4200|OBJECT|134|3350|25|2596|16|0|0|0|0
4200|OBJECT|135|3375|25|2619|23|0|0|0|0
4200|OBJECT|136|3400|25|2635|16|0|0|0|0
4200|OBJECT|137|3425|25|2657|22|0|0|0|0
4200|OBJECT|138|3450|25|2673|16|0|0|0|0
4200|OBJECT|139|3475|25|2695|22|0|0|0|0
4200|OBJECT|140|3500|25|2711|16|0|0|0|0
4200|OBJECT|141|3525|25|2733|22|0|0|0|0
4200|OBJECT|142|3550|25|2749|16|0|0|0|0
4200|OBJECT|143|3575|25|2772|23|0|0|0|0
4200|OBJECT|144|3600|25|2788|16|0|0|0|0
4200|OBJECT|145|3625|25|2811|23|0|0|0|0
4200|OBJECT|146|3650|25|2829|18|0|0|0|0
4200|OBJECT|147|3675|25|2847|18|0|0|0|0
4200|OBJECT|148|3700|25|2866|19|0|0|0|0
4200|OBJECT|149|3725|25|2884|18|0|0|0|0
4200|OBJECT|150|3750|25|2894|10|0|0|0|0
4200|OBJECT|151|3775|25|2911|17|0|0|0|0
4200|OBJECT|152|3800|25|2930|19|0|0|0|0
4200|OBJECT|153|3825|25|2949|19|0|0|0|0
4200|OBJECT|154|3850|25|2969|20|0|0|0|0
4200|OBJECT|155|3875|25|2986|17|0|0|0|0
4200|OBJECT|156|3900|25|3004|18|0|0|0|0
4200|OBJECT|157|3925|25|3023|19|0|0|0|0
4200|OBJECT|158|3950|25|3042|19|0|0|0|0
4200|OBJECT|159|3975|25|3061|19|0|0|0|0
4200|OBJECT|160|4000|25|3080|19|0|0|0|0
4200|OBJECT|161|4025|25|3099|19|0|0|0|0
4200|OBJECT|162|4050|25|3117|18|0|0|0|0
4200|OBJECT|163|4075|25|3136|19|0|0|0|0
4200|OBJECT|164|4100|25|3158|22|0|0|0|0
4200|OBJECT|165|4125|25|3174|16|0|0|0|0
4200|OBJECT|166|4150|25|3196|22|0|0|0|0
4200|OBJECT|167|4175|25|3213|17|0|0|0|0
4200|OBJECT|168|4200|25|3233|20|0|0|0|0
4200|OBJECT|169|4225|25|3250|17|0|0|0|0
4200|OBJECT|170|4250|25|3272|22|0|0|0|0
4200|OBJECT|171|4275|25|3288|16|0|0|0|0
4200|OBJECT|172|4300|25|3309|21|0|0|0|0
4200|OBJECT|173|4325|25|3324|15|0|0|0|0
4200|OBJECT|174|4350|25|3346|22|0|0|0|0
4200|OBJECT|175|4375|25|3361|15|0|0|0|0
4200|OBJECT|176|4400|25|3384|23|0|0|0|0
4200|OBJECT|177|4425|25|3400|16|0|0|0|0
4200|OBJECT|178|4450|25|3417|17|0|0|0|0
4200|OBJECT|179|4475|25|3424|7|0|0|0|0
4200|OBJECT|180|4500|25|3428|4|0|0|0|0
4200|OBJECT|181|4525|25|3435|7|0|0|0|0
4200|OBJECT|182|4550|25|3454|19|0|0|0|0
4200|OBJECT|183|4575|25|3475|21|0|0|0|0
4200|OBJECT|184|4600|25|3492|17|0|0|0|0
4200|OBJECT|185|4625|25|3514|22|0|0|0|0
4200|OBJECT|186|4650|25|3530|16|0|0|0|0
4200|OBJECT|187|4675|25|3552|22|0|0|0|0
4200|OBJECT|188|4700|25|3569|17|0|0|0|0
4200|OBJECT|189|4725|25|3590|21|0|0|0|0
4200|OBJECT|190|4750|25|3606|16|0|0|0|0
4200|OBJECT|191|4775|25|3628|22|0|0|0|0
4200|OBJECT|192|4800|25|3645|17|0|0|0|0
4200|OBJECT|193|4825|25|3667|22|0|0|0|0
4200|OBJECT|194|4850|25|3683|16|0|0|0|0
4200|OBJECT|195|4875|25|3704|21|0|0|0|0
4200|OBJECT|196|4900|25|3720|16|0|0|0|0
4200|OBJECT|197|4925|25|3743|23|0|0|0|0
4200|OBJECT|198|4950|25|3759|16|0|0|0|0
4200|OBJECT|199|4975|25|3781|22|0|0|0|0
4200|OBJECT|200|5000|25|3800|19|0|0|0|0
4200|OBJECT|201|5025|25|3820|20|0|0|0|0
4200|OBJECT|202|5050|25|3838|18|0|0|0|0
4200|OBJECT|203|5075|25|3858|20|0|0|0|0
4200|OBJECT|204|5100|25|3877|19|0|0|0|0
4200|OBJECT|205|5125|25|3896|19|0|0|0|0
4200|OBJECT|206|5150|25|3915|19|0|0|0|0
4200|OBJECT|207|5175|25|3934|19|0|0|0|0
4200|OBJECT|208|5200|25|3952|18|0|0|0|0
4200|OBJECT|209|5225|25|3971|19|0|0|0|0
4200|OBJECT|210|5250|25|3990|19|0|0|0|0
4200|OBJECT|211|5275|25|4009|19|0|0|0|0
4200|OBJECT|212|5300|25|4028|19|0|0|0|0
4200|OBJECT|213|5325|25|4047|19|0|0|0|0
4200|OBJECT|214|5350|25|4066|19|0|0|0|0
4200|OBJECT|215|5375|25|4085|19|0|0|0|0
4200|OBJECT|216|5400|25|4105|20|0|0|0|0
4200|OBJECT|217|5425|25|4124|19|0|0|0|0
4200|OBJECT|218|5450|25|4142|18|0|0|0|0
4200|OBJECT|219|5475|25|4161|19|0|0|0|0
4200|OBJECT|220|5500|25|4180|19|0|0|0|0
4200|OBJECT|221|5525|25|4200|20|0|0|0|0
4200|OBJECT|222|5550|25|4200|0|0|0|0|0
4200|OBJECT|223|5575|25|4200|0|0|0|0|0
4200|OBJECT|224|5600|25|4200|0|0|0|0|0
420|OBJECT|0|0|25|9|9|0|0|0|0
420|OBJECT|1|25|25|34|25|0|0|0|0
420|OBJECT|2|50|25|51|17|0|0|0|0
420|OBJECT|3|75|25|74|23|0|0|0|0
420|OBJECT|4|100|25|93|19|0|0|0|0
420|OBJECT|5|125|25|113|20|0|0|0|0
420|OBJECT|6|150|25|132|19|0|0|0|0
420|OBJECT|7|175|25|153|21|0|0|0|0
420|OBJECT|8|200|25|173|20|0|0|0|0
420|OBJECT|9|225|25|193|20|0|0|0|0
420|OBJECT|10|250|25|212|19|0|0|0|0
420|OBJECT|11|275|25|232|20|0|0|0|0
420|OBJECT|12|300|25|255|23|0|0|0|0
420|OBJECT|13|325|25|273|18|0|0|0|0
