query_id|model_size|time_seconds|query_results_size|allocation_type
CloseTrains|60|0.001|10|standard
CloseTrains|60|0.001|10|standard
CloseTrains|60|0.001|10|standard
CloseTrains|600|0.01|100|standard
CloseTrains|600|0.01|100|standard
CloseTrains|6000|0.1|100|standard
CloseTrains|6000|0.1|1000|standard
CloseTrains|6000|0.1|1000|standard
CloseTrains|6000|0.1|1000|standard
CloseTrains|60|0.001|10|local
CloseTrains|60|0.001|10|local
CloseTrains|60|0.001|10|local
CloseTrains|600|0.01|100|local
CloseTrains|600|0.01|100|local
CloseTrains|6000|0.1|100|local
CloseTrains|6000|0.1|1000|local
CloseTrains|6000|0.1|1000|local
CloseTrains|6000|0.1|1000|local
