query_id|model_size|time_seconds|query_results_size|allocation_type
CloseTrains|420000|2.033|60000|local
CloseTrains|420000|2.00157|60000|local
CloseTrains|420000|2.02503|60000|local
CloseTrains|420000|2.02073|60000|local
CloseTrains|420000|2.02566|60000|local
CloseTrains|420000|2.01961|60000|local
CloseTrains|420000|2.0292|60000|local
CloseTrains|420000|2.00986|60000|local
CloseTrains|420000|2.01837|60000|local
CloseTrains|420000|2.02556|60000|local
CloseTrains|420000|2.01933|60000|local
CloseTrains|420000|2.02676|60000|local
CloseTrains|420000|2.00607|60000|local
CloseTrains|420000|2.01807|60000|local
CloseTrains|420000|2.0187|60000|local
CloseTrains|420000|2.02632|60000|local
CloseTrains|420000|2.02403|60000|local
CloseTrains|420000|2.01253|60000|local
CloseTrains|420000|2.02113|60000|local
CloseTrains|420000|2.022|60000|local
CloseTrains|420000|2.01874|60000|local
CloseTrains|420000|2.0225|60000|local
CloseTrains|420000|2.01911|60000|local
CloseTrains|420000|2.01908|60000|local
CloseTrains|420000|2.01257|60000|local
CloseTrains|420000|2.00723|60000|local
CloseTrains|420000|2.00771|60000|local
CloseTrains|420000|2.00051|60000|local
CloseTrains|420000|1.98707|60000|local
CloseTrains|420000|2.01964|60000|local
Derailment|420000|1.87268|30000|local
Derailment|420000|1.83969|30000|local
Derailment|420000|1.83173|30000|local
Derailment|420000|1.84918|30000|local
Derailment|420000|1.85707|30000|local
Derailment|420000|1.8558|30000|local
Derailment|420000|1.84268|30000|local
Derailment|420000|1.86572|30000|local
Derailment|420000|1.85739|30000|local
Derailment|420000|1.83652|30000|local
Derailment|420000|1.86431|30000|local
Derailment|420000|1.85577|30000|local
Derailment|420000|1.85811|30000|local
Derailment|420000|1.85503|30000|local
Derailment|420000|1.84371|30000|local
Derailment|420000|1.85217|30000|local
Derailment|420000|1.85895|30000|local
Derailment|420000|1.83711|30000|local
Derailment|420000|1.85833|30000|local
Derailment|420000|1.85286|30000|local
Derailment|420000|1.85683|30000|local
Derailment|420000|1.85298|30000|local
Derailment|420000|1.84317|30000|local
Derailment|420000|1.85282|30000|local
Derailment|420000|1.85457|30000|local
Derailment|420000|1.85037|30000|local
Derailment|420000|1.85863|30000|local
Derailment|420000|1.85275|30000|local
Derailment|420000|1.85543|30000|local
Derailment|420000|1.85841|30000|local
EndOfSiding|420000|1.19824|30000|local
EndOfSiding|420000|1.18511|30000|local
EndOfSiding|420000|1.18482|30000|local
EndOfSiding|420000|1.17143|30000|local
EndOfSiding|420000|1.17239|30000|local
EndOfSiding|420000|1.17482|30000|local
EndOfSiding|420000|1.17071|30000|local
EndOfSiding|420000|1.17689|30000|local
EndOfSiding|420000|1.16986|30000|local
EndOfSiding|420000|1.18109|30000|local
EndOfSiding|420000|1.18745|30000|local
EndOfSiding|420000|1.18539|30000|local
EndOfSiding|420000|1.18391|30000|local
EndOfSiding|420000|1.18555|30000|local
EndOfSiding|420000|1.1741|30000|local
EndOfSiding|420000|1.17045|30000|local
EndOfSiding|420000|1.17508|30000|local
EndOfSiding|420000|1.16743|30000|local
EndOfSiding|420000|1.16723|30000|local
EndOfSiding|420000|1.15727|30000|local
EndOfSiding|420000|1.17445|30000|local
EndOfSiding|420000|1.18827|30000|local
EndOfSiding|420000|1.17862|30000|local
EndOfSiding|420000|1.18444|30000|local
EndOfSiding|420000|1.1784|30000|local
EndOfSiding|420000|1.17109|30000|local
EndOfSiding|420000|1.15453|30000|local
EndOfSiding|420000|1.16245|30000|local
EndOfSiding|420000|1.1691|30000|local
EndOfSiding|420000|1.16917|30000|local
TrainLocations|420000|2.14045|90000|local
TrainLocations|420000|2.13175|90000|local
TrainLocations|420000|2.14401|90000|local
TrainLocations|420000|2.14624|90000|local
TrainLocations|420000|2.15131|90000|local
TrainLocations|420000|2.14914|90000|local
TrainLocations|420000|2.13288|90000|local
TrainLocations|420000|2.13909|90000|local
TrainLocations|420000|2.14416|90000|local
TrainLocations|420000|2.14407|90000|local
TrainLocations|420000|2.14629|90000|local
TrainLocations|420000|2.15071|90000|local
TrainLocations|420000|2.14967|90000|local
TrainLocations|420000|2.14506|90000|local
TrainLocations|420000|2.12326|90000|local
TrainLocations|420000|2.12328|90000|local
TrainLocations|420000|2.11284|90000|local
TrainLocations|420000|2.14537|90000|local
TrainLocations|420000|2.13211|90000|local
TrainLocations|420000|2.14976|90000|local
TrainLocations|420000|2.14551|90000|local
TrainLocations|420000|2.14385|90000|local
TrainLocations|420000|2.1467|90000|local
TrainLocations|420000|2.1474|90000|local
TrainLocations|420000|2.13338|90000|local
TrainLocations|420000|2.14491|90000|local
TrainLocations|420000|2.14761|90000|local
TrainLocations|420000|2.14721|90000|local
TrainLocations|420000|2.12876|90000|local
TrainLocations|420000|2.14708|90000|local
CloseTrains|42000|0.17139|6000|local
CloseTrains|42000|0.174402|6000|local
CloseTrains|42000|0.174284|6000|local
CloseTrains|42000|0.18307|6000|local
CloseTrains|42000|0.168099|6000|local
CloseTrains|42000|0.168843|6000|local
CloseTrains|42000|0.170882|6000|local
CloseTrains|42000|0.169828|6000|local
CloseTrains|42000|0.1714|6000|local
CloseTrains|42000|0.170943|6000|local
CloseTrains|42000|0.168359|6000|local
CloseTrains|42000|0.17194|6000|local
CloseTrains|42000|0.172211|6000|local
CloseTrains|42000|0.172409|6000|local
CloseTrains|42000|0.168212|6000|local
CloseTrains|42000|0.174675|6000|local
CloseTrains|42000|0.169502|6000|local
CloseTrains|42000|0.168834|6000|local
CloseTrains|42000|0.17094|6000|local
CloseTrains|42000|0.168381|6000|local
CloseTrains|42000|0.182242|6000|local
CloseTrains|42000|0.172097|6000|local
CloseTrains|42000|0.168063|6000|local
CloseTrains|42000|0.168607|6000|local
CloseTrains|42000|0.172996|6000|local
CloseTrains|42000|0.167549|6000|local
CloseTrains|42000|0.168412|6000|local
CloseTrains|42000|0.173831|6000|local
CloseTrains|42000|0.166639|6000|local
CloseTrains|42000|0.172446|6000|local
Derailment|42000|0.165056|3000|local
Derailment|42000|0.160237|3000|local
Derailment|42000|0.161533|3000|local
Derailment|42000|0.159404|3000|local
Derailment|42000|0.162772|3000|local
Derailment|42000|0.159843|3000|local
Derailment|42000|0.159618|3000|local
Derailment|42000|0.159126|3000|local
Derailment|42000|0.159917|3000|local
Derailment|42000|0.161144|3000|local
Derailment|42000|0.160141|3000|local
Derailment|42000|0.157429|3000|local
Derailment|42000|0.157077|3000|local
Derailment|42000|0.157726|3000|local
Derailment|42000|0.167374|3000|local
Derailment|42000|0.159285|3000|local
Derailment|42000|0.162756|3000|local
Derailment|42000|0.156969|3000|local
Derailment|42000|0.156654|3000|local
Derailment|42000|0.158748|3000|local
Derailment|42000|0.159614|3000|local
Derailment|42000|0.157875|3000|local
Derailment|42000|0.171055|3000|local
Derailment|42000|0.156614|3000|local
Derailment|42000|0.173606|3000|local
Derailment|42000|0.161973|3000|local
Derailment|42000|0.169756|3000|local
Derailment|42000|0.159481|3000|local
Derailment|42000|0.159084|3000|local
Derailment|42000|0.160794|3000|local
EndOfSiding|42000|0.109698|3000|local
EndOfSiding|42000|0.119202|3000|local
EndOfSiding|42000|0.106224|3000|local
EndOfSiding|42000|0.10526|3000|local
EndOfSiding|42000|0.104619|3000|local
EndOfSiding|42000|0.108154|3000|local
EndOfSiding|42000|0.105129|3000|local
EndOfSiding|42000|0.105166|3000|local
EndOfSiding|42000|0.105161|3000|local
EndOfSiding|42000|0.105533|3000|local
EndOfSiding|42000|0.105402|3000|local
EndOfSiding|42000|0.105146|3000|local
EndOfSiding|42000|0.105028|3000|local
EndOfSiding|42000|0.105139|3000|local
EndOfSiding|42000|0.104995|3000|local
EndOfSiding|42000|0.104969|3000|local
EndOfSiding|42000|0.104947|3000|local
EndOfSiding|42000|0.105645|3000|local
EndOfSiding|42000|0.107512|3000|local
EndOfSiding|42000|0.104487|3000|local
EndOfSiding|42000|0.105953|3000|local
EndOfSiding|42000|0.106742|3000|local
EndOfSiding|42000|0.104679|3000|local
EndOfSiding|42000|0.105749|3000|local
EndOfSiding|42000|0.105685|3000|local
EndOfSiding|42000|0.104672|3000|local
EndOfSiding|42000|0.104994|3000|local
EndOfSiding|42000|0.104452|3000|local
EndOfSiding|42000|0.106217|3000|local
EndOfSiding|42000|0.107003|3000|local
TrainLocations|42000|0.187503|9000|local
TrainLocations|42000|0.185059|9000|local
TrainLocations|42000|0.188356|9000|local
TrainLocations|42000|0.186121|9000|local
TrainLocations|42000|0.185426|9000|local
TrainLocations|42000|0.18704|9000|local
TrainLocations|42000|0.186471|9000|local
TrainLocations|42000|0.187355|9000|local
TrainLocations|42000|0.187398|9000|local
TrainLocations|42000|0.188224|9000|local
TrainLocations|42000|0.191095|9000|local
TrainLocations|42000|0.185211|9000|local
TrainLocations|42000|0.191412|9000|local
TrainLocations|42000|0.192686|9000|local
TrainLocations|42000|0.18496|9000|local
TrainLocations|42000|0.189064|9000|local
TrainLocations|42000|0.187117|9000|local
TrainLocations|42000|0.179773|9000|local
TrainLocations|42000|0.187155|9000|local
TrainLocations|42000|0.199136|9000|local
TrainLocations|42000|0.18157|9000|local
TrainLocations|42000|0.184071|9000|local
TrainLocations|42000|0.18342|9000|local
TrainLocations|42000|0.188196|9000|local
TrainLocations|42000|0.185873|9000|local
TrainLocations|42000|0.182373|9000|local
TrainLocations|42000|0.189512|9000|local
TrainLocations|42000|0.186732|9000|local
TrainLocations|42000|0.199174|9000|local
TrainLocations|42000|0.181161|9000|local
CloseTrains|4200|0.017319|600|local
CloseTrains|4200|0.0173894|600|local
CloseTrains|4200|0.0147403|600|local
CloseTrains|4200|0.0148715|600|local
CloseTrains|4200|0.0193688|600|local
CloseTrains|4200|0.0145728|600|local
CloseTrains|4200|0.0148251|600|local
CloseTrains|4200|0.0190335|600|local
CloseTrains|4200|0.0151029|600|local
CloseTrains|4200|0.0150063|600|local
CloseTrains|4200|0.0189084|600|local
CloseTrains|4200|0.0147318|600|local
CloseTrains|4200|0.0150402|600|local
CloseTrains|4200|0.0196265|600|local
CloseTrains|4200|0.0145655|600|local
CloseTrains|4200|0.014764|600|local
CloseTrains|4200|0.0194086|600|local
CloseTrains|4200|0.0145861|600|local
CloseTrains|4200|0.0145164|600|local
CloseTrains|4200|0.0149678|600|local
CloseTrains|4200|0.0174979|600|local
CloseTrains|4200|0.0146296|600|local
CloseTrains|4200|0.0145559|600|local
CloseTrains|4200|0.0171091|600|local
CloseTrains|4200|0.0148495|600|local
CloseTrains|4200|0.0146256|600|local
CloseTrains|4200|0.0151908|600|local
CloseTrains|4200|0.0147462|600|local
CloseTrains|4200|0.0167883|600|local
CloseTrains|4200|0.0174512|600|local
Derailment|4200|0.0184497|300|local
Derailment|4200|0.0144279|300|local
Derailment|4200|0.0178499|300|local
Derailment|4200|0.018394|300|local
Derailment|4200|0.0145603|300|local
Derailment|4200|0.0143499|300|local
