query_id|model_size|time_seconds|query_results_size|allocation_type
CloseTrains|420000|2.82529|60000|alternative
CloseTrains|420000|3.30208|60000|alternative
CloseTrains|420000|3.77779|60000|alternative
CloseTrains|420000|3.89261|60000|alternative
CloseTrains|420000|3.77247|60000|alternative
CloseTrains|420000|3.7564|60000|alternative
CloseTrains|420000|3.70408|60000|alternative
CloseTrains|420000|3.83527|60000|alternative
CloseTrains|420000|3.57963|60000|alternative
CloseTrains|420000|3.77351|60000|alternative
CloseTrains|420000|3.98953|60000|alternative
CloseTrains|420000|3.92162|60000|alternative
CloseTrains|420000|3.77708|60000|alternative
CloseTrains|420000|3.80155|60000|alternative
CloseTrains|420000|3.95516|60000|alternative
CloseTrains|420000|3.71955|60000|alternative
CloseTrains|420000|3.40489|60000|alternative
CloseTrains|420000|3.57983|60000|alternative
CloseTrains|420000|3.9641|60000|alternative
CloseTrains|420000|3.81817|60000|alternative
CloseTrains|420000|3.84793|60000|alternative
CloseTrains|420000|3.73703|60000|alternative
CloseTrains|420000|3.57907|60000|alternative
CloseTrains|420000|3.79891|60000|alternative
CloseTrains|420000|3.5918|60000|alternative
CloseTrains|420000|3.58599|60000|alternative
CloseTrains|420000|3.46226|60000|alternative
CloseTrains|420000|3.28485|60000|alternative
CloseTrains|420000|3.4991|60000|alternative
CloseTrains|420000|3.73704|60000|alternative
Derailment|420000|26.3403|30000|alternative
Derailment|420000|25.5961|30000|alternative
Derailment|420000|25.2122|30000|alternative
Derailment|420000|25.6244|30000|alternative
Derailment|420000|25.2156|30000|alternative
Derailment|420000|26.046|30000|alternative
Derailment|420000|25.843|30000|alternative
Derailment|420000|25.5491|30000|alternative
Derailment|420000|26.1529|30000|alternative
Derailment|420000|24.7727|30000|alternative
Derailment|420000|25.5272|30000|alternative
Derailment|420000|25.7754|30000|alternative
Derailment|420000|25.5937|30000|alternative
Derailment|420000|25.7074|30000|alternative
Derailment|420000|25.1878|30000|alternative
Derailment|420000|25.2396|30000|alternative
Derailment|420000|25.2387|30000|alternative
Derailment|420000|25.8425|30000|alternative
Derailment|420000|25.4014|30000|alternative
Derailment|420000|26.1722|30000|alternative
Derailment|420000|25.5698|30000|alternative
Derailment|420000|25.3929|30000|alternative
Derailment|420000|25.2722|30000|alternative
Derailment|420000|25.2861|30000|alternative
Derailment|420000|25.2219|30000|alternative
Derailment|420000|24.095|30000|alternative
Derailment|420000|25.9756|30000|alternative
Derailment|420000|25.5182|30000|alternative
Derailment|420000|25.3849|30000|alternative
Derailment|420000|25.7152|30000|alternative
EndOfSiding|420000|1.78506|30000|alternative
EndOfSiding|420000|1.77611|30000|alternative
EndOfSiding|420000|1.76638|30000|alternative
EndOfSiding|420000|1.76181|30000|alternative
EndOfSiding|420000|1.92076|30000|alternative
EndOfSiding|420000|2.10581|30000|alternative
EndOfSiding|420000|2.48288|30000|alternative
EndOfSiding|420000|2.5011|30000|alternative
EndOfSiding|420000|2.4741|30000|alternative
EndOfSiding|420000|2.3937|30000|alternative
EndOfSiding|420000|2.37651|30000|alternative
EndOfSiding|420000|2.30081|30000|alternative
EndOfSiding|420000|2.37933|30000|alternative
EndOfSiding|420000|2.38754|30000|alternative
EndOfSiding|420000|2.37058|30000|alternative
EndOfSiding|420000|2.41112|30000|alternative
EndOfSiding|420000|2.33072|30000|alternative
EndOfSiding|420000|2.30038|30000|alternative
EndOfSiding|420000|2.21403|30000|alternative
EndOfSiding|420000|2.31907|30000|alternative
EndOfSiding|420000|2.51041|30000|alternative
EndOfSiding|420000|2.53866|30000|alternative
EndOfSiding|420000|2.57515|30000|alternative
EndOfSiding|420000|2.43467|30000|alternative
EndOfSiding|420000|2.41534|30000|alternative
EndOfSiding|420000|2.35675|30000|alternative
EndOfSiding|420000|2.29846|30000|alternative
EndOfSiding|420000|2.49551|30000|alternative
EndOfSiding|420000|2.41099|30000|alternative
EndOfSiding|420000|2.44941|30000|alternative
TrainLocations|420000|5.97377|90000|alternative
TrainLocations|420000|6.27232|90000|alternative
TrainLocations|420000|5.96252|90000|alternative
TrainLocations|420000|5.9377|90000|alternative
TrainLocations|420000|5.93552|90000|alternative
TrainLocations|420000|5.91059|90000|alternative
TrainLocations|420000|5.93575|90000|alternative
TrainLocations|420000|5.93874|90000|alternative
TrainLocations|420000|5.91902|90000|alternative
TrainLocations|420000|5.94934|90000|alternative
TrainLocations|420000|5.90211|90000|alternative
TrainLocations|420000|5.93931|90000|alternative
TrainLocations|420000|5.92051|90000|alternative
TrainLocations|420000|5.90025|90000|alternative
TrainLocations|420000|5.91015|90000|alternative
TrainLocations|420000|5.93134|90000|alternative
TrainLocations|420000|5.92331|90000|alternative
TrainLocations|420000|5.94413|90000|alternative
TrainLocations|420000|5.9306|90000|alternative
TrainLocations|420000|5.92645|90000|alternative
TrainLocations|420000|5.91131|90000|alternative
TrainLocations|420000|6.2343|90000|alternative
TrainLocations|420000|5.93071|90000|alternative
TrainLocations|420000|5.93934|90000|alternative
TrainLocations|420000|5.91817|90000|alternative
TrainLocations|420000|5.92653|90000|alternative
TrainLocations|420000|5.91857|90000|alternative
TrainLocations|420000|5.90726|90000|alternative
TrainLocations|420000|5.91994|90000|alternative
TrainLocations|420000|5.92158|90000|alternative
CloseTrains|42000|0.27674|6000|alternative
CloseTrains|42000|0.254703|6000|alternative
CloseTrains|42000|0.263493|6000|alternative
CloseTrains|42000|0.28076|6000|alternative
CloseTrains|42000|0.312268|6000|alternative
CloseTrains|42000|0.283723|6000|alternative
CloseTrains|42000|0.281639|6000|alternative
CloseTrains|42000|0.291676|6000|alternative
CloseTrains|42000|0.301018|6000|alternative
CloseTrains|42000|0.291063|6000|alternative
CloseTrains|42000|0.282305|6000|alternative
CloseTrains|42000|0.296385|6000|alternative
CloseTrains|42000|0.267837|6000|alternative
CloseTrains|42000|0.259346|6000|alternative
CloseTrains|42000|0.264528|6000|alternative
CloseTrains|42000|0.259636|6000|alternative
CloseTrains|42000|0.274207|6000|alternative
CloseTrains|42000|0.252963|6000|alternative
CloseTrains|42000|0.260396|6000|alternative
CloseTrains|42000|0.252214|6000|alternative
CloseTrains|42000|0.249499|6000|alternative
CloseTrains|42000|0.264423|6000|alternative
CloseTrains|42000|0.255944|6000|alternative
CloseTrains|42000|0.264275|6000|alternative
CloseTrains|42000|0.26156|6000|alternative
CloseTrains|42000|0.257658|6000|alternative
CloseTrains|42000|0.261298|6000|alternative
CloseTrains|42000|0.258889|6000|alternative
CloseTrains|42000|0.249518|6000|alternative
CloseTrains|42000|0.270066|6000|alternative
Derailment|42000|4.2843|3000|alternative
Derailment|42000|4.52231|3000|alternative
Derailment|42000|4.35052|3000|alternative
Derailment|42000|4.63762|3000|alternative
Derailment|42000|4.48215|3000|alternative
Derailment|42000|4.42281|3000|alternative
Derailment|42000|4.38887|3000|alternative
Derailment|42000|4.38947|3000|alternative
Derailment|42000|4.30612|3000|alternative
Derailment|42000|4.3925|3000|alternative
Derailment|42000|4.45392|3000|alternative
Derailment|42000|4.30216|3000|alternative
Derailment|42000|4.81387|3000|alternative
Derailment|42000|4.30186|3000|alternative
Derailment|42000|4.25462|3000|alternative
Derailment|42000|4.72601|3000|alternative
Derailment|42000|4.3647|3000|alternative
Derailment|42000|4.20311|3000|alternative
Derailment|42000|4.772|3000|alternative
Derailment|42000|4.45301|3000|alternative
Derailment|42000|4.36275|3000|alternative
Derailment|42000|4.35182|3000|alternative
Derailment|42000|4.30519|3000|alternative
Derailment|42000|4.56266|3000|alternative
Derailment|42000|4.16752|3000|alternative
Derailment|42000|4.56583|3000|alternative
Derailment|42000|4.38915|3000|alternative
Derailment|42000|4.49297|3000|alternative
Derailment|42000|4.6649|3000|alternative
Derailment|42000|4.51928|3000|alternative
EndOfSiding|42000|0.18882|3000|alternative
EndOfSiding|42000|0.189189|3000|alternative
EndOfSiding|42000|0.190851|3000|alternative
EndOfSiding|42000|0.183361|3000|alternative
EndOfSiding|42000|0.209766|3000|alternative
EndOfSiding|42000|0.21854|3000|alternative
EndOfSiding|42000|0.209015|3000|alternative
EndOfSiding|42000|0.210995|3000|alternative
EndOfSiding|42000|0.198051|3000|alternative
EndOfSiding|42000|0.22136|3000|alternative
EndOfSiding|42000|0.200344|3000|alternative
EndOfSiding|42000|0.199084|3000|alternative
EndOfSiding|42000|0.201986|3000|alternative
EndOfSiding|42000|0.202447|3000|alternative
EndOfSiding|42000|0.170223|3000|alternative
EndOfSiding|42000|0.182314|3000|alternative
EndOfSiding|42000|0.171721|3000|alternative
EndOfSiding|42000|0.173649|3000|alternative
EndOfSiding|42000|0.169475|3000|alternative
EndOfSiding|42000|0.188584|3000|alternative
EndOfSiding|42000|0.186669|3000|alternative
EndOfSiding|42000|0.189946|3000|alternative
EndOfSiding|42000|0.186189|3000|alternative
EndOfSiding|42000|0.179547|3000|alternative
EndOfSiding|42000|0.179247|3000|alternative
EndOfSiding|42000|0.189196|3000|alternative
EndOfSiding|42000|0.184361|3000|alternative
EndOfSiding|42000|0.178525|3000|alternative
EndOfSiding|42000|0.173678|3000|alternative
EndOfSiding|42000|0.175413|3000|alternative
TrainLocations|42000|0.571277|9000|alternative
TrainLocations|42000|0.565337|9000|alternative
TrainLocations|42000|0.542887|9000|alternative
TrainLocations|42000|0.56488|9000|alternative
TrainLocations|42000|0.559894|9000|alternative
TrainLocations|42000|0.566949|9000|alternative
TrainLocations|42000|0.550885|9000|alternative
TrainLocations|42000|0.57373|9000|alternative
TrainLocations|42000|0.554831|9000|alternative
TrainLocations|42000|0.566609|9000|alternative
TrainLocations|42000|0.555726|9000|alternative
TrainLocations|42000|0.543729|9000|alternative
TrainLocations|42000|0.546428|9000|alternative
TrainLocations|42000|0.557189|9000|alternative
TrainLocations|42000|0.564047|9000|alternative
TrainLocations|42000|0.539902|9000|alternative
TrainLocations|42000|0.543839|9000|alternative
TrainLocations|42000|0.548718|9000|alternative
TrainLocations|42000|0.548372|9000|alternative
TrainLocations|42000|0.565698|9000|alternative
TrainLocations|42000|0.550386|9000|alternative
TrainLocations|42000|0.569384|9000|alternative
TrainLocations|42000|0.55813|9000|alternative
TrainLocations|42000|0.54896|9000|alternative
TrainLocations|42000|0.549153|9000|alternative
TrainLocations|42000|0.543983|9000|alternative
TrainLocations|42000|0.538965|9000|alternative
TrainLocations|42000|0.704367|9000|alternative
TrainLocations|42000|0.562957|9000|alternative
TrainLocations|42000|0.547345|9000|alternative
CloseTrains|4200|0.0675915|600|alternative
CloseTrains|4200|0.056545|600|alternative
CloseTrains|4200|0.0644724|600|alternative
CloseTrains|4200|0.0618074|600|alternative
CloseTrains|4200|0.0652165|600|alternative
CloseTrains|4200|0.067363|600|alternative
CloseTrains|4200|0.0704069|600|alternative
CloseTrains|4200|0.0577583|600|alternative
CloseTrains|4200|0.0678108|600|alternative
CloseTrains|4200|0.0677096|600|alternative
CloseTrains|4200|0.0554727|600|alternative
CloseTrains|4200|0.0683476|600|alternative
CloseTrains|4200|0.0746875|600|alternative
