query_id|model_size|time_seconds|query_results_size|allocation_type
CloseTrains|420000|3.05045|60000|standard
CloseTrains|420000|3.29514|60000|standard
CloseTrains|420000|3.65953|60000|standard
CloseTrains|420000|4.23269|60000|standard
CloseTrains|420000|4.29525|60000|standard
CloseTrains|420000|4.21311|60000|standard
CloseTrains|420000|4.29623|60000|standard
CloseTrains|420000|4.29862|60000|standard
CloseTrains|420000|4.31123|60000|standard
CloseTrains|420000|4.14891|60000|standard
CloseTrains|420000|4.34051|60000|standard
CloseTrains|420000|4.24396|60000|standard
CloseTrains|420000|4.16542|60000|standard
CloseTrains|420000|4.48589|60000|standard
CloseTrains|420000|4.07932|60000|standard
CloseTrains|420000|4.09515|60000|standard
CloseTrains|420000|4.46382|60000|standard
CloseTrains|420000|4.34717|60000|standard
CloseTrains|420000|4.29869|60000|standard
CloseTrains|420000|4.14583|60000|standard
CloseTrains|420000|4.27138|60000|standard
CloseTrains|420000|4.51563|60000|standard
CloseTrains|420000|4.43046|60000|standard
CloseTrains|420000|4.21146|60000|standard
CloseTrains|420000|4.31376|60000|standard
CloseTrains|420000|4.2062|60000|standard
CloseTrains|420000|4.05746|60000|standard
CloseTrains|420000|4.07427|60000|standard
CloseTrains|420000|4.2177|60000|standard
CloseTrains|420000|4.18561|60000|standard
CloseTrains|42000|0.284225|6000|standard
CloseTrains|42000|0.273744|6000|standard
CloseTrains|42000|0.276291|6000|standard
CloseTrains|42000|0.306939|6000|standard
CloseTrains|42000|0.317154|6000|standard
CloseTrains|42000|0.314478|6000|standard
CloseTrains|42000|0.303122|6000|standard
CloseTrains|42000|0.330411|6000|standard
CloseTrains|42000|0.297251|6000|standard
CloseTrains|42000|0.303643|6000|standard
CloseTrains|42000|0.306497|6000|standard
CloseTrains|42000|0.285301|6000|standard
CloseTrains|42000|0.269167|6000|standard
CloseTrains|42000|0.2703|6000|standard
CloseTrains|42000|0.26435|6000|standard
CloseTrains|42000|0.269753|6000|standard
CloseTrains|42000|0.269306|6000|standard
CloseTrains|42000|0.263019|6000|standard
CloseTrains|42000|0.271899|6000|standard
CloseTrains|42000|0.269197|6000|standard
CloseTrains|42000|0.270018|6000|standard
CloseTrains|42000|0.265328|6000|standard
CloseTrains|42000|0.259883|6000|standard
CloseTrains|42000|0.263119|6000|standard
CloseTrains|42000|0.26293|6000|standard
CloseTrains|42000|0.263098|6000|standard
CloseTrains|42000|0.260057|6000|standard
CloseTrains|42000|0.27868|6000|standard
CloseTrains|42000|0.26292|6000|standard
CloseTrains|42000|0.264875|6000|standard
CloseTrains|4200|0.0602076|600|standard
CloseTrains|4200|0.0666629|600|standard
CloseTrains|4200|0.0562214|600|standard
CloseTrains|4200|0.0620674|600|standard
CloseTrains|4200|0.0731252|600|standard
CloseTrains|4200|0.0576822|600|standard
CloseTrains|4200|0.0601095|600|standard
CloseTrains|4200|0.0731972|600|standard
CloseTrains|4200|0.0695821|600|standard
CloseTrains|4200|0.0697802|600|standard
CloseTrains|4200|0.0668713|600|standard
CloseTrains|4200|0.0699097|600|standard
CloseTrains|4200|0.0689158|600|standard
CloseTrains|4200|0.054969|600|standard
CloseTrains|4200|0.0737487|600|standard
CloseTrains|4200|0.0658933|600|standard
CloseTrains|4200|0.0658364|600|standard
CloseTrains|4200|0.0653447|600|standard
CloseTrains|4200|0.0648918|600|standard
CloseTrains|4200|0.0575127|600|standard
CloseTrains|4200|0.0644457|600|standard
CloseTrains|4200|0.0638506|600|standard
CloseTrains|4200|0.0620555|600|standard
CloseTrains|4200|0.0632193|600|standard
CloseTrains|4200|0.0641441|600|standard
CloseTrains|4200|0.0553615|600|standard
CloseTrains|4200|0.0682179|600|standard
CloseTrains|4200|0.0530733|600|standard
CloseTrains|4200|0.0637064|600|standard
CloseTrains|4200|0.0572575|600|standard
CloseTrains|420|0.0393024|60|standard
CloseTrains|420|0.0406087|60|standard
CloseTrains|420|0.0454744|60|standard
CloseTrains|420|0.0447945|60|standard
CloseTrains|420|0.0405115|60|standard
CloseTrains|420|0.0407949|60|standard
CloseTrains|420|0.0461486|60|standard
CloseTrains|420|0.0461865|60|standard
CloseTrains|420|0.0406402|60|standard
CloseTrains|420|0.0375725|60|standard
CloseTrains|420|0.0477764|60|standard
CloseTrains|420|0.0510632|60|standard
CloseTrains|420|0.0489029|60|standard
CloseTrains|420|0.0419523|60|standard
CloseTrains|420|0.0419279|60|standard
CloseTrains|420|0.0442214|60|standard
CloseTrains|420|0.0429579|60|standard
CloseTrains|420|0.048515|60|standard
CloseTrains|420|0.0431598|60|standard
CloseTrains|420|0.0387815|60|standard
CloseTrains|420|0.049902|60|standard
CloseTrains|420|0.048828|60|standard
CloseTrains|420|0.0381451|60|standard
CloseTrains|420|0.0386982|60|standard
CloseTrains|420|0.0432305|60|standard
CloseTrains|420|0.0506552|60|standard
CloseTrains|420|0.0407255|60|standard
CloseTrains|420|0.0508701|60|standard
CloseTrains|420|0.0372765|60|standard
CloseTrains|420|0.0454905|60|standard
CloseTrains|420|0.0398544|60|standard
