query_id|model_size|time_seconds|query_results_size|allocation_type
TrainLocations|420000|4.34181|90000|standard
TrainLocations|420000|6.04512|90000|standard
TrainLocations|420000|6.19039|90000|standard
TrainLocations|420000|6.28877|90000|standard
TrainLocations|420000|6.43991|90000|standard
TrainLocations|420000|6.07644|90000|standard
TrainLocations|420000|5.98963|90000|standard
TrainLocations|420000|6.16805|90000|standard
TrainLocations|420000|6.81746|90000|standard
TrainLocations|420000|6.51471|90000|standard
TrainLocations|420000|6.27758|90000|standard
TrainLocations|420000|6.43166|90000|standard
TrainLocations|420000|6.12532|90000|standard
TrainLocations|420000|5.7421|90000|standard
TrainLocations|420000|6.45314|90000|standard
TrainLocations|420000|6.59063|90000|standard
TrainLocations|420000|6.42094|90000|standard
TrainLocations|420000|6.71343|90000|standard
TrainLocations|420000|6.20232|90000|standard
TrainLocations|420000|6.13834|90000|standard
TrainLocations|420000|6.51477|90000|standard
TrainLocations|420000|6.3733|90000|standard
TrainLocations|420000|6.16219|90000|standard
TrainLocations|420000|6.56476|90000|standard
TrainLocations|420000|6.2644|90000|standard
TrainLocations|420000|5.64278|90000|standard
TrainLocations|420000|6.37913|90000|standard
TrainLocations|420000|6.7564|90000|standard
TrainLocations|420000|6.65331|90000|standard
TrainLocations|420000|6.59605|90000|standard
TrainLocations|42000|0.423569|9000|standard
TrainLocations|42000|0.450652|9000|standard
TrainLocations|42000|0.44054|9000|standard
TrainLocations|42000|0.421515|9000|standard
TrainLocations|42000|0.449849|9000|standard
TrainLocations|42000|0.439606|9000|standard
TrainLocations|42000|0.449189|9000|standard
TrainLocations|42000|0.44546|9000|standard
TrainLocations|42000|0.43618|9000|standard
TrainLocations|42000|0.414915|9000|standard
TrainLocations|42000|0.412944|9000|standard
TrainLocations|42000|0.392278|9000|standard
TrainLocations|42000|0.398271|9000|standard
TrainLocations|42000|0.3954|9000|standard
TrainLocations|42000|0.394742|9000|standard
TrainLocations|42000|0.393437|9000|standard
TrainLocations|42000|0.399965|9000|standard
TrainLocations|42000|0.395296|9000|standard
TrainLocations|42000|0.386133|9000|standard
TrainLocations|42000|0.395497|9000|standard
TrainLocations|42000|0.39875|9000|standard
TrainLocations|42000|0.407443|9000|standard
TrainLocations|42000|0.398587|9000|standard
TrainLocations|42000|0.390279|9000|standard
TrainLocations|42000|0.400915|9000|standard
TrainLocations|42000|0.383445|9000|standard
TrainLocations|42000|0.406378|9000|standard
TrainLocations|42000|0.394921|9000|standard
TrainLocations|42000|0.397544|9000|standard
TrainLocations|42000|0.398283|9000|standard
TrainLocations|4200|0.079119|900|standard
TrainLocations|4200|0.0744368|900|standard
TrainLocations|4200|0.0726598|900|standard
TrainLocations|4200|0.0776136|900|standard
TrainLocations|4200|0.0696099|900|standard
TrainLocations|4200|0.0805145|900|standard
TrainLocations|4200|0.0825998|900|standard
TrainLocations|4200|0.0765995|900|standard
TrainLocations|4200|0.0700006|900|standard
TrainLocations|4200|0.0870996|900|standard
TrainLocations|4200|0.082276|900|standard
TrainLocations|4200|0.0743873|900|standard
TrainLocations|4200|0.0801571|900|standard
TrainLocations|4200|0.0862026|900|standard
TrainLocations|4200|0.0860205|900|standard
TrainLocations|4200|0.0659501|900|standard
TrainLocations|4200|0.0625332|900|standard
TrainLocations|4200|0.0699987|900|standard
TrainLocations|4200|0.0776192|900|standard
TrainLocations|4200|0.0630173|900|standard
TrainLocations|4200|0.0745107|900|standard
TrainLocations|4200|0.0727127|900|standard
TrainLocations|4200|0.0648256|900|standard
TrainLocations|4200|0.0717873|900|standard
TrainLocations|4200|0.0797387|900|standard
TrainLocations|4200|0.0649368|900|standard
TrainLocations|4200|0.0766252|900|standard
TrainLocations|4200|0.0743525|900|standard
TrainLocations|4200|0.0619923|900|standard
TrainLocations|4200|0.0777961|900|standard
TrainLocations|420|0.0530515|90|standard
TrainLocations|420|0.0426217|90|standard
TrainLocations|420|0.0443507|90|standard
TrainLocations|420|0.0470718|90|standard
TrainLocations|420|0.0368294|90|standard
TrainLocations|420|0.0463113|90|standard
TrainLocations|420|0.0422814|90|standard
TrainLocations|420|0.0473888|90|standard
TrainLocations|420|0.0455316|90|standard
TrainLocations|420|0.0463927|90|standard
TrainLocations|420|0.0474748|90|standard
TrainLocations|420|0.0445641|90|standard
TrainLocations|420|0.0528694|90|standard
TrainLocations|420|0.0418513|90|standard
TrainLocations|420|0.0469554|90|standard
TrainLocations|420|0.0446099|90|standard
TrainLocations|420|0.0549832|90|standard
TrainLocations|420|0.0454844|90|standard
TrainLocations|420|0.0502734|90|standard
TrainLocations|420|0.0434129|90|standard
TrainLocations|420|0.0493755|90|standard
TrainLocations|420|0.0410331|90|standard
TrainLocations|420|0.0405484|90|standard
TrainLocations|420|0.0484847|90|standard
TrainLocations|420|0.0453379|90|standard
TrainLocations|420|0.0394804|90|standard
TrainLocations|420|0.0421|90|standard
TrainLocations|420|0.0479445|90|standard
TrainLocations|420|0.042543|90|standard
TrainLocations|420|0.0378188|90|standard
