query_id|model_size|time_seconds|query_results_size|allocation_type
PosLength|1328|0.0406045|123|10 participants
PosLength|1328|0.0309773|123|10 participants
PosLength|1328|0.0308299|123|10 participants
PosLength|1328|0.0311414|123|10 participants
PosLength|1328|0.031315|123|10 participants
PosLength|1328|0.0412439|123|10 participants
PosLength|1328|0.0319687|123|10 participants
PosLength|1328|0.0312873|123|10 participants
PosLength|1328|0.0312662|123|10 participants
PosLength|1328|0.0407515|123|10 participants
PosLength|1328|0.031491|123|10 participants
PosLength|1328|0.0317852|123|10 participants
PosLength|1328|0.0312303|123|10 participants
PosLength|1328|0.0315174|123|10 participants
PosLength|1328|0.0298922|123|10 participants
PosLength|1328|0.0394804|123|10 participants
PosLength|1328|0.0400285|123|10 participants
PosLength|1328|0.0299871|123|10 participants
PosLength|1328|0.0293526|123|10 participants
PosLength|1328|0.0298291|123|10 participants
PosLength|1328|0.0400936|123|10 participants
PosLength|1328|0.0295137|123|10 participants
PosLength|1328|0.0399031|123|10 participants
PosLength|1328|0.0303121|123|10 participants
PosLength|1328|0.0303941|123|10 participants
PosLength|1328|0.0301451|123|10 participants
PosLength|1328|0.0282278|123|10 participants
PosLength|1328|0.028117|123|10 participants
PosLength|1328|0.0297505|123|10 participants
PosLength|1328|0.0310556|123|10 participants
PosLength|3465|0.0391674|305|10 participants
PosLength|3465|0.0394381|305|10 participants
PosLength|3465|0.0398797|305|10 participants
PosLength|3465|0.0389966|305|10 participants
PosLength|3465|0.0391074|305|10 participants
PosLength|3465|0.0292416|305|10 participants
PosLength|3465|0.0390801|305|10 participants
PosLength|3465|0.0400084|305|10 participants
PosLength|3465|0.0295315|305|10 participants
PosLength|3465|0.0306772|305|10 participants
PosLength|3465|0.0392816|305|10 participants
PosLength|3465|0.0406538|305|10 participants
PosLength|3465|0.0297189|305|10 participants
PosLength|3465|0.0400267|305|10 participants
PosLength|3465|0.0396476|305|10 participants
PosLength|3465|0.0391681|305|10 participants
PosLength|3465|0.0305886|305|10 participants
PosLength|3465|0.0404597|305|10 participants
PosLength|3465|0.0394314|305|10 participants
PosLength|3465|0.0396348|305|10 participants
PosLength|3465|0.0402701|305|10 participants
PosLength|3465|0.0398377|305|10 participants
PosLength|3465|0.0405772|305|10 participants
PosLength|3465|0.0399583|305|10 participants
PosLength|3465|0.0402626|305|10 participants
PosLength|3465|0.0383214|305|10 participants
PosLength|3465|0.0299884|305|10 participants
PosLength|3465|0.0409131|305|10 participants
PosLength|3465|0.0402928|305|10 participants
PosLength|3465|0.040729|305|10 participants
PosLength|8107|0.0325365|741|10 participants
PosLength|8107|0.0321862|741|10 participants
PosLength|8107|0.0417667|741|10 participants
PosLength|8107|0.0323502|741|10 participants
PosLength|8107|0.032196|741|10 participants
PosLength|8107|0.0422122|741|10 participants
PosLength|8107|0.0417861|741|10 participants
PosLength|8107|0.0314217|741|10 participants
PosLength|8107|0.0422071|741|10 participants
PosLength|8107|0.0318189|741|10 participants
PosLength|8107|0.0417835|741|10 participants
PosLength|8107|0.0415958|741|10 participants
PosLength|8107|0.0417954|741|10 participants
PosLength|8107|0.0322326|741|10 participants
PosLength|8107|0.0416637|741|10 participants
PosLength|8107|0.0321053|741|10 participants
PosLength|8107|0.0320232|741|10 participants
PosLength|8107|0.0332324|741|10 participants
PosLength|8107|0.0330774|741|10 participants
PosLength|8107|0.0421663|741|10 participants
PosLength|8107|0.0321891|741|10 participants
PosLength|8107|0.0425375|741|10 participants
PosLength|8107|0.0323913|741|10 participants
PosLength|8107|0.032111|741|10 participants
PosLength|8107|0.0321055|741|10 participants
PosLength|8107|0.0328604|741|10 participants
PosLength|8107|0.0431233|741|10 participants
PosLength|8107|0.0323885|741|10 participants
