query_id|model_size|time_seconds|query_results_size|allocation_type
Derailment|60|0.002|20|standard
Derailment|60|0.0025|20|standard
Derailment|60|0.002|20|standard
Derailment|600|0.02|200|standard
Derailment|600|0.03|200|standard
Derailment|6000|0.2|200|standard
Derailment|6000|0.2|2000|standard
Derailment|6000|0.3|2000|standard
Derailment|6000|0.2|2000|standard
Derailment|60|0.002|20|local
Derailment|60|0.002|20|local
Derailment|60|0.002|20|local
Derailment|600|0.02|200|local
Derailment|600|0.02|200|local
Derailment|6000|0.2|200|local
Derailment|6000|0.2|2000|local
Derailment|6000|0.2|2000|local
Derailment|6000|0.4|2000|local
